lstm_langmod_1_16_1_rram_mem_0.5_node_2_dummy
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv_part_2, 8e-09,4.5e-08,5.3e-08,3.11296e-08,1.2058624e-07,1.68026112e-07,2.8761600020177e-08,1.41312000000441e-08,69,0,3.62634752020221e-07
Total,8e-09,4.5e-08,5.3e-08,3.11296e-08,1.2058624e-07,1.68026112e-07,2.8761600020177e-08,1.41312000000441e-08,69,0,3.62634752020221e-07
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_1_16_1_rram_mem_0.5_node_2_dummy, 15.0943396226415,84.9056603773585,100,41.8370934265947,46.334806872186,11.8280997012193,100,1,1,1,3.62634752020221e-07
lstm_langmod_1_16_1_rram_mem_0.5_node_2_dummy
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv_part_2, 8e-09,4.5e-08,5.3e-08,3.11296e-08,1.2058624e-07,1.68026112e-07,2.8761600020177e-08,1.41312000000441e-08,69,0,3.62634752020221e-07
Total,8e-09,4.5e-08,5.3e-08,3.11296e-08,1.2058624e-07,1.68026112e-07,2.8761600020177e-08,1.41312000000441e-08,69,0,3.62634752020221e-07
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_1_16_1_rram_mem_0.5_node_2_dummy, 15.0943396226415,84.9056603773585,100,41.8370934265947,46.334806872186,11.8280997012193,100,1,1,1,3.62634752020221e-07
