lstm_langmod_1_16_1_rram_mem_8_node_2_dummy
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv_part_2, 1.40625e-08,1.6296875e-07,1.7703125e-07,5.472e-08,2.11968e-07,5.6124288e-07,2.40240640070002e-07,1.24518400000153e-07,608,0,1.19268992007015e-06
Total,1.40625e-08,1.6296875e-07,1.7703125e-07,5.472e-08,2.11968e-07,5.6124288e-07,2.40240640070002e-07,1.24518400000153e-07,608,0,1.19268992007015e-06
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_1_16_1_rram_mem_8_node_2_dummy, 7.94351279788173,92.0564872021183,100,22.3602124502162,47.0568980717962,30.5828894779877,100,1,1,1,1.19268992007015e-06
lstm_langmod_1_16_1_rram_mem_8_node_2_dummy
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv_part_2, 1.40625e-08,1.6296875e-07,1.7703125e-07,5.472e-08,2.11968e-07,5.6124288e-07,2.40240640070002e-07,1.24518400000153e-07,608,0,1.19268992007015e-06
Total,1.40625e-08,1.6296875e-07,1.7703125e-07,5.472e-08,2.11968e-07,5.6124288e-07,2.40240640070002e-07,1.24518400000153e-07,608,0,1.19268992007015e-06
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_1_16_1_rram_mem_8_node_2_dummy, 7.94351279788173,92.0564872021183,100,22.3602124502162,47.0568980717962,30.5828894779877,100,1,1,1,1.19268992007015e-06
