alex_net_16_1_rram_mem_1_node_113
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
fc2_part_33_o, 5.12e-07,1.165e-06,1.677e-06,1.9922944e-06,7.71751936e-06,5.316599808e-06,1.69593088058513e-06,2.88665600000128e-06,14095,0,1.96090004485864e-05
fc3_part_1_i, 1.84e-07,4.25e-07,6.09e-07,7.159808e-07,2.77348352e-06,1.930715136e-06,2.86294784021289e-06,4.77941760000047e-06,23337,0,1.30625448962134e-05
Total,6.96e-07,1.59e-06,2.286e-06,2.7082752e-06,1.049100288e-05,7.247314944e-06,4.55887872079802e-06,7.66607360000175e-06,37432,0,3.26715453447998e-05
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
alex_net_16_1_rram_mem_1_node_113, 30.4461942257218,69.5538057742782,100,40.3999196876094,22.1823451187121,37.4177351936785,100,1,1,1,3.26715453447998e-05
alex_net_16_1_rram_mem_1_node_113
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
fc2_part_33_o, 5.12e-07,1.165e-06,1.677e-06,1.9922944e-06,7.71751936e-06,5.316599808e-06,1.69593088058513e-06,2.88665600000128e-06,14095,0,1.96090004485864e-05
fc3_part_1_i, 1.84e-07,4.25e-07,6.09e-07,7.159808e-07,2.77348352e-06,1.930715136e-06,2.86294784021289e-06,4.77941760000047e-06,23337,0,1.30625448962134e-05
Total,6.96e-07,1.59e-06,2.286e-06,2.7082752e-06,1.049100288e-05,7.247314944e-06,4.55887872079802e-06,7.66607360000175e-06,37432,0,3.26715453447998e-05
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
alex_net_16_1_rram_mem_1_node_113, 30.4461942257218,69.5538057742782,100,40.3999196876094,22.1823451187121,37.4177351936785,100,1,1,1,3.26715453447998e-05
