vgg_net_16_1_rram_mem_64_node_4
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
fc1_part_4_o, 8.82e-06,9.7942e-05,0.000106762,3.4320384e-05,0.0001329463296,0.000338467995648,0.000129564695082146,0.000220641894400092,1077263,48,0.000855941298730238
fc2_part_1_o, 8.192e-06,9.7351e-05,0.000105543,3.18767104e-05,0.00012348030976,0.000334603395072,0.000126300838441773,0.000215003750400091,1049343,256,0.000831265004073864
Total,1.7012e-05,0.000195293,0.000212305,6.61970944e-05,0.00025642663936,0.00067307139072,0.000255865533523919,0.000435645644800183,2126606,304,0.0016872063028041
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
vgg_net_16_1_rram_mem_64_node_4, 8.01300016485716,91.9869998351429,100,19.1217714883951,39.8926550713667,40.9855734402381,100,1,1,1,0.0016872063028041
vgg_net_16_1_rram_mem_64_node_4
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
fc1_part_4_o, 8.82e-06,9.7942e-05,0.000106762,3.4320384e-05,0.0001329463296,0.000338467995648,0.000129564695082146,0.000220641894400092,1077263,48,0.000855941298730238
fc2_part_1_o, 8.192e-06,9.7351e-05,0.000105543,3.18767104e-05,0.00012348030976,0.000334603395072,0.000126300838441773,0.000215003750400091,1049343,256,0.000831265004073864
Total,1.7012e-05,0.000195293,0.000212305,6.61970944e-05,0.00025642663936,0.00067307139072,0.000255865533523919,0.000435645644800183,2126606,304,0.0016872063028041
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
vgg_net_16_1_rram_mem_64_node_4, 8.01300016485716,91.9869998351429,100,19.1217714883951,39.8926550713667,40.9855734402381,100,1,1,1,0.0016872063028041
