lstm_langmod_1_16_1_rram_mem_512_node_1
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_2, 0.000131072,0.001077276,0.001208348,0.0005100273664,0.00197568495616,0.003830830497792,0.00202455107887058,0.00344310394880103,16796671,8192,0.0117841978480236
output, 1.6384e-05,8.74e-06,2.5124e-05,6.37534208e-05,0.00024696061952,7.9650717696e-05,6.70903731269722e-05,0.000114137292800015,557311,0,0.000571592423942987
Total,0.000147456,0.001086016,0.001233472,0.0005737807872,0.00222264557568,0.003910481215488,0.00209164145199755,0.00355724124160104,17353982,8192,0.0123557902719666
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_1_16_1_rram_mem_512_node_1, 11.9545478130026,88.0454521869974,100,22.6325172354589,31.6489769526138,45.7185058119273,100,1,1,1,0.0123557902719666
lstm_langmod_1_16_1_rram_mem_512_node_1
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
act_2, 0.000131072,0.001077276,0.001208348,0.0005100273664,0.00197568495616,0.003830830497792,0.00202455107887058,0.00344310394880103,16796671,8192,0.0117841978480236
output, 1.6384e-05,8.74e-06,2.5124e-05,6.37534208e-05,0.00024696061952,7.9650717696e-05,6.70903731269722e-05,0.000114137292800015,557311,0,0.000571592423942987
Total,0.000147456,0.001086016,0.001233472,0.0005737807872,0.00222264557568,0.003910481215488,0.00209164145199755,0.00355724124160104,17353982,8192,0.0123557902719666
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
lstm_langmod_1_16_1_rram_mem_512_node_1, 11.9545478130026,88.0454521869974,100,22.6325172354589,31.6489769526138,45.7185058119273,100,1,1,1,0.0123557902719666
