alex_net_16_1_rram_mem_0.25_node_1
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,1.94125e-05,7.27735e-05,0.0002076383232,0.00080432529408,0.000230714118144,1.051673345898e-05,1.40582912000415e-05,68644,0,0.00126725276008302
conv2_part_1_o, 3.675e-05,8.035e-06,4.4785e-05,0.0001430016,0.00055394304,0.00014198206464,1.5335472650875e-05,2.46059008000238e-05,120146,0,0.000878868078090899
Total,9.0111e-05,2.74475e-05,0.0001175585,0.0003506399232,0.00135826833408,0.000372696182784,2.5852206109855e-05,3.86641920000653e-05,188790,0,0.00214612083817392
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
alex_net_16_1_rram_mem_0.25_node_1, 76.6520498305099,23.3479501694901,100,79.6277743024976,17.3660390484404,3.00618664906193,100,1,1,1,0.00214612083817392
alex_net_16_1_rram_mem_0.25_node_1
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.3361e-05,1.94125e-05,7.27735e-05,0.0002076383232,0.00080432529408,0.000230714118144,1.051673345898e-05,1.40582912000415e-05,68644,0,0.00126725276008302
conv2_part_1_o, 3.675e-05,8.035e-06,4.4785e-05,0.0001430016,0.00055394304,0.00014198206464,1.5335472650875e-05,2.46059008000238e-05,120146,0,0.000878868078090899
Total,9.0111e-05,2.74475e-05,0.0001175585,0.0003506399232,0.00135826833408,0.000372696182784,2.5852206109855e-05,3.86641920000653e-05,188790,0,0.00214612083817392
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
alex_net_16_1_rram_mem_0.25_node_1, 76.6520498305099,23.3479501694901,100,79.6277743024976,17.3660390484404,3.00618664906193,100,1,1,1,0.00214612083817392
